Player,Squad,Pos,Min,90s,Gls,xG,Ast,xAG,SoT,KP,Attacking_Efficiency,Defensive_Efficiency,Goals_p90,xG_p90,Assists_p90,xAG_p90,SoT_p90,KeyPasses_p90,Goals_Added
Philip Zinckernagel,Chicago Fire FC,W,296,3.29,0,0.45180000000000003,0,0.3645,1,2,5.06,31.73,0.0,0.137,0.0,0.111,0.304,0.608,0.127
Nikola Markovic,D.C. United,DM,50,0.56,0,0.0,0,0.053500000000000006,0,1,5.05,34.17,0.0,0.0,0.0,0.096,0.0,1.8,-0.051
Jovan Lukić,Philadelphia Union,CM,168,1.87,0,0.0106,0,0.1431,0,3,5.02,31.08,0.0,0.006,0.0,0.077,0.0,1.607,0.018
Joel Waterman,Chicago Fire FC,CB,247,2.74,0,0.0526,0,0.0224,0,1,5.02,52.8,0.0,0.019,0.0,0.008,0.0,0.364,0.489
Harry Toffolo,Charlotte FC,FB,279,3.1,0,0.08270000000000001,0,0.16140000000000002,1,2,5.0,40.09,0.0,0.027,0.0,0.052,0.323,0.645,0.21
Elías Baez,Atlanta United FC,FB,300,3.33,0,0.156,1,0.3037,0,2,4.99,37.42,0.0,0.047,0.3,0.091,0.0,0.6,0.174
Leonardo Barroso,Chicago Fire FC,FB,233,2.59,0,0.08360000000000001,0,0.1371,2,1,4.98,30.95,0.0,0.032,0.0,0.053,0.773,0.386,0.091
Olger Escobar,CF Montréal,AM,65,0.72,0,0.0297,0,0.0,1,0,4.93,19.64,0.0,0.041,0.0,0.0,1.385,0.0,-0.042
Julian Gressel,Minnesota United FC,W,61,0.68,0,0.0,0,0.1811,0,1,4.93,31.06,0.0,0.0,0.0,0.267,0.0,1.475,-0.037
Brayan Vera,CF Montréal,FB,267,2.97,0,0.0207,0,0.0,0,0,4.93,52.49,0.0,0.007,0.0,0.0,0.0,0.0,0.615
DeJuan Jones,San Jose Earthquakes,FB,266,2.96,0,0.20270000000000002,0,0.1897,0,2,4.91,41.95,0.0,0.069,0.0,0.064,0.0,0.677,0.286
Kyle Smith,FC Cincinnati,FB,11,0.12,0,0.0823,0,0.0,0,0,4.89,34.14,0.0,0.673,0.0,0.0,0.0,0.0,0.062
Mateusz Bogusz,Houston Dynamo FC,AM,203,2.26,0,0.3075,0,0.44370000000000004,0,4,4.87,17.31,0.0,0.136,0.0,0.197,0.0,1.773,-0.238
Keegan Rosenberry,Colorado Rapids,FB,103,1.14,0,0.1875,0,0.0,1,0,4.85,37.1,0.0,0.164,0.0,0.0,0.874,0.0,0.072
Steven Alzate,Atlanta United FC,CM,268,2.98,0,0.13440000000000002,0,0.27030000000000004,0,4,4.84,36.16,0.0,0.045,0.0,0.091,0.0,1.343,0.036
Alex Roldan,Seattle Sounders FC,FB,318,3.53,0,0.1321,0,0.0,0,0,4.83,50.3,0.0,0.037,0.0,0.0,0.0,0.0,0.569
Guilherme Biro,Austin FC,FB,123,1.37,0,0.0683,0,0.0,1,0,4.77,36.21,0.0,0.05,0.0,0.0,0.732,0.0,0.214
Kye Rowles,D.C. United,CB,297,3.3,0,0.025500000000000002,0,0.0618,0,1,4.76,48.5,0.0,0.008,0.0,0.019,0.0,0.303,0.459
Jake Davis,Sporting Kansas City,FB,292,3.24,0,0.0361,1,0.5969,0,2,4.74,31.32,0.0,0.011,0.308,0.184,0.0,0.616,0.095
Dani Pereira,Austin FC,DM,231,2.57,0,0.07200000000000001,0,0.125,1,2,4.73,36.6,0.0,0.028,0.0,0.049,0.39,0.779,0.072
Ian Harkes,San Jose Earthquakes,DM,137,1.52,0,0.0285,0,0.4307,0,2,4.72,31.09,0.0,0.019,0.0,0.283,0.0,1.314,-0.046
Maximiliano Falcón,Inter Miami CF,CB,311,3.46,0,0.0,0,0.0,0,0,4.7,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.57
Sean Zawadzki,Columbus Crew,CM,304,3.38,0,0.068,0,0.0,1,0,4.68,50.79,0.0,0.02,0.0,0.0,0.296,0.0,0.415
Jackson Travis,Colorado Rapids,FB,293,3.26,0,0.053700000000000005,1,0.36560000000000004,0,3,4.68,32.62,0.0,0.016,0.307,0.112,0.0,0.922,-0.001
Bernard Kamungo,FC Dallas,FB,270,3.0,0,0.0694,0,0.0889,1,3,4.66,30.83,0.0,0.023,0.0,0.03,0.333,1.0,0.016
Osaze Urhoghide,FC Dallas,CB,297,3.3,0,0.0,1,0.1922,0,1,4.63,44.87,0.0,0.0,0.303,0.058,0.0,0.303,0.253
Alex Mighten,San Diego FC,ST,53,0.59,0,0.0,0,0.0351,0,1,4.63,24.08,0.0,0.0,0.0,0.06,0.0,1.698,-0.089
Anton Salétros,Chicago Fire FC,CM,306,3.4,0,0.0165,0,0.2944,0,4,4.62,33.75,0.0,0.005,0.0,0.087,0.0,1.176,0.082
Maya Yoshida,LA Galaxy,CB,234,2.6,0,0.0239,0,0.0,1,0,4.6,49.62,0.0,0.009,0.0,0.0,0.385,0.0,0.367
Eric Maxim Choupo-Moting,New York Red Bulls,ST,102,1.13,0,0.0661,0,0.028200000000000003,1,1,4.6,26.13,0.0,0.058,0.0,0.025,0.882,0.882,-0.232
Ezekiel Alladoh,Philadelphia Union,ST,110,1.22,0,0.0,0,0.2523,0,2,4.6,18.72,0.0,0.0,0.0,0.206,0.0,1.636,-0.139
Bruno Damiani,Philadelphia Union,ST,245,2.72,0,0.2361,0,0.1453,0,3,4.57,29.86,0.0,0.087,0.0,0.053,0.0,1.102,0.047
Obinna Nwobodo,FC Cincinnati,CM,144,1.6,0,0.2762,0,0.0,1,0,4.57,32.64,0.0,0.173,0.0,0.0,0.625,0.0,0.118
Calvin Harris,Sporting Kansas City,W,258,2.87,0,0.1449,0,0.3509,1,2,4.53,26.9,0.0,0.051,0.0,0.122,0.349,0.698,0.025
Wyatt Meyer,Sporting Kansas City,CB,298,3.31,0,0.0,0,0.0,0,0,4.52,55.11,0.0,0.0,0.0,0.0,0.0,0.0,0.531
Adrián Marín,Orlando City SC,CB,149,1.66,0,0.0432,0,0.2851,0,2,4.5,30.17,0.0,0.026,0.0,0.172,0.0,1.208,-0.012
Mihail Gherasimencov,Vancouver Whitecaps FC,FB,5,0.06,0,0.031900000000000005,0,0.0,0,0,4.5,21.26,0.0,0.574,0.0,0.0,0.0,0.0,0.057
Justin Che,New York Red Bulls,CB,303,3.37,0,0.0155,0,0.0238,1,1,4.49,44.29,0.0,0.005,0.0,0.007,0.297,0.297,0.275
Bongokuhle Hlongwane,Minnesota United FC,CM,236,2.62,0,0.0,0,0.2472,0,4,4.47,24.31,0.0,0.0,0.0,0.094,0.0,1.525,-0.077
Wil Trapp,Minnesota United FC,CM,295,3.28,0,0.0,0,0.1568,0,1,4.45,45.34,0.0,0.0,0.0,0.048,0.0,0.305,0.382
Anthony Markanich,Minnesota United FC,FB,268,2.98,0,0.0782,0,0.1923,0,2,4.42,32.68,0.0,0.026,0.0,0.065,0.0,0.672,0.214
Daniel Edelman,St. Louis City SC,CM,299,3.32,0,0.0,0,0.589,0,4,4.38,32.69,0.0,0.0,0.0,0.177,0.0,1.204,-0.018
Ondrej Lingr,Houston Dynamo FC,ST,69,0.77,0,0.0,0,0.0304,0,1,4.32,31.02,0.0,0.0,0.0,0.04,0.0,1.304,-0.005
Dante Sealy,Colorado Rapids,W,230,2.56,0,0.08940000000000001,1,0.3487,0,2,4.3,21.82,0.0,0.035,0.391,0.136,0.0,0.783,-0.105
Ryan Porteous,Los Angeles FC,CB,302,3.36,0,0.0,0,0.0,0,0,4.3,53.19,0.0,0.0,0.0,0.0,0.0,0.0,0.484
Lawrence Ennali,Houston Dynamo FC,FB,199,2.21,0,0.028,0,0.0,1,0,4.3,41.92,0.0,0.013,0.0,0.0,0.452,0.0,0.267
Rafael Santos,St. Louis City SC,FB,244,2.71,0,0.10550000000000001,0,0.091,2,3,4.3,13.3,0.0,0.039,0.0,0.034,0.738,1.107,-0.302
Kaick,FC Dallas,CM,201,2.23,0,0.2528,0,0.1652,0,2,4.29,32.17,0.0,0.113,0.0,0.074,0.0,0.896,0.028
Philip Quinton,Real Salt Lake,CB,209,2.32,0,0.0,1,0.0367,0,1,4.29,34.71,0.0,0.0,0.431,0.016,0.0,0.431,0.083
Josh Bauer,Nashville SC,FB,68,0.76,0,0.0,0,0.0262,0,1,4.28,32.69,0.0,0.0,0.0,0.035,0.0,1.324,-0.017
Duncan McGuire,Orlando City SC,ST,219,2.43,0,0.2612,0,0.1102,1,1,4.28,23.76,0.0,0.107,0.0,0.045,0.411,0.411,0.034
Dagur Dan Thórhallsson,CF Montréal,W,307,3.41,0,0.1043,0,0.6122000000000001,0,3,4.27,33.64,0.0,0.031,0.0,0.179,0.0,0.879,0.049
Japhet Sery Larsen,Philadelphia Union,CB,301,3.34,0,0.0,0,0.09040000000000001,0,1,4.23,43.0,0.0,0.0,0.0,0.027,0.0,0.299,0.347
Facundo Mura,Inter Miami CF,FB,258,2.87,0,0.1297,0,0.14780000000000001,0,1,4.22,43.56,0.0,0.045,0.0,0.052,0.0,0.349,0.278
Louicius Don Deedson,FC Dallas,FB,70,0.78,0,0.2569,0,0.0,0,0,4.22,36.04,0.0,0.33,0.0,0.0,0.0,0.0,0.196
Agustín Bouzat,Houston Dynamo FC,CM,182,2.02,0,0.015700000000000002,0,0.0819,1,1,4.22,33.97,0.0,0.008,0.0,0.04,0.495,0.495,0.036
Diego Chará,Portland Timbers FC,DM,187,2.08,0,0.013600000000000001,0,0.1895,0,2,4.2,37.56,0.0,0.007,0.0,0.091,0.0,0.963,0.064
Sebastien Ibeagha,FC Dallas,CB,305,3.39,0,0.39180000000000004,0,0.0,0,0,4.16,44.4,0.0,0.116,0.0,0.0,0.0,0.0,0.358
