Player,Squad,Pos,Min,90s,Gls,xG,Ast,xAG,SoT,KP,Attacking_Efficiency,Defensive_Efficiency,Goals_p90,xG_p90,Assists_p90,xAG_p90,SoT_p90,KeyPasses_p90,Goals_Added
Aiden O'Neill,New York City FC,DM,271,3.01,0,0.0,0,0.0,0,0,3.42,45.14,0.0,0.0,0.0,0.0,0.0,0.0,0.29
Juan Berrocal,Atlanta United FC,CB,300,3.33,0,0.1067,0,0.0193,0,1,3.39,40.36,0.0,0.032,0.0,0.006,0.0,0.3,0.145
Samuel Gidi,FC Cincinnati,DM,236,2.62,0,0.09140000000000001,0,0.088,0,1,3.37,35.32,0.0,0.035,0.0,0.034,0.0,0.381,0.097
Reggie Cannon,Colorado Rapids,FB,231,2.57,0,0.0264,0,0.0,1,0,3.36,38.81,0.0,0.01,0.0,0.0,0.39,0.0,0.091
Chris Mueller,Chicago Fire FC,ST,81,0.9,0,0.0,0,0.07980000000000001,0,1,3.36,17.0,0.0,0.0,0.0,0.089,0.0,1.111,-0.166
Giovanny Sequera,Philadelphia Union,FB,84,0.93,0,0.15810000000000002,0,0.0,0,0,3.35,28.82,0.0,0.169,0.0,0.0,0.0,0.0,0.135
Patrickson Delgado,FC Dallas,CM,111,1.23,0,0.0,0,0.1017,0,1,3.34,24.24,0.0,0.0,0.0,0.082,0.0,0.811,-0.06
Brooklyn Raines,New England Revolution,DM,187,2.08,0,0.0,0,0.0,0,0,3.34,46.63,0.0,0.0,0.0,0.0,0.0,0.0,0.273
Evander,FC Cincinnati,FB,37,0.41,0,0.0999,0,0.0,0,0,3.33,34.08,0.0,0.243,0.0,0.0,0.0,0.0,0.071
Wayne Frederick,Colorado Rapids,DM,117,1.3,0,0.0,0,0.10740000000000001,0,1,3.33,30.58,0.0,0.0,0.0,0.083,0.0,0.769,-0.046
Andy Najar,Nashville SC,FB,255,2.83,0,0.0,0,0.0,0,0,3.32,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268
Mathías Laborda,Vancouver Whitecaps FC,FB,232,2.58,0,0.5744,0,0.0,1,0,3.28,29.28,0.0,0.223,0.0,0.0,0.388,0.0,-0.098
Jeisson Palacios,Nashville SC,CB,307,3.41,0,0.0781,0,0.0945,0,1,3.28,40.94,0.0,0.023,0.0,0.028,0.0,0.293,0.12
Djibril Diani,Charlotte FC,DM,79,0.88,0,0.12010000000000001,0,0.0,0,0,3.27,41.05,0.0,0.137,0.0,0.0,0.0,0.0,0.144
Jeong Sang-Bin,St. Louis City SC,AM,130,1.44,0,0.0,0,0.0531,0,1,3.27,26.32,0.0,0.0,0.0,0.037,0.0,0.692,-0.012
Steven Moreira,Columbus Crew,CB,184,2.04,0,0.10010000000000001,0,0.0,0,0,3.27,43.01,0.0,0.049,0.0,0.0,0.0,0.0,0.217
Dylan Nealis,New York Red Bulls,CB,200,2.22,0,0.0,0,0.0,0,0,3.27,41.52,0.0,0.0,0.0,0.0,0.0,0.0,0.257
Manu Duah,San Diego FC,CB,288,3.2,0,0.0,0,0.0,0,0,3.24,46.24,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Jayden Reid,Sporting Kansas City,FB,298,3.31,0,0.0,0,0.1102,0,1,3.24,32.76,0.0,0.0,0.0,0.033,0.0,0.302,0.126
Timo Baumgartl,St. Louis City SC,CB,299,3.32,0,0.0,0,0.0,0,0,3.22,44.28,0.0,0.0,0.0,0.0,0.0,0.0,0.245
Shaq Moore,FC Dallas,CB,305,3.39,0,0.0,0,0.0,0,0,3.2,40.45,0.0,0.0,0.0,0.0,0.0,0.0,0.242
Mauricio Pineda,Chicago Fire FC,DM,151,1.68,0,0.0224,0,0.0683,0,1,3.18,33.07,0.0,0.013,0.0,0.041,0.0,0.596,-0.009
Elijah Wynder,LA Galaxy,CM,175,1.94,0,0.0,0,0.0782,0,2,3.17,29.69,0.0,0.0,0.0,0.04,0.0,1.029,-0.158
Jamal Thiaré,Columbus Crew,CB,31,0.34,0,0.0,0,0.0,0,0,3.16,34.31,0.0,0.0,0.0,0.0,0.0,0.0,0.234
Edvard Tagseth,Nashville SC,CM,277,3.08,0,0.0833,0,0.5063,0,1,3.16,35.16,0.0,0.027,0.0,0.165,0.0,0.325,0.019
Nicolás Dubersarsky,Austin FC,DM,89,0.99,0,0.0,0,0.016300000000000002,0,1,3.13,25.83,0.0,0.0,0.0,0.016,0.0,1.011,-0.149
Woobens Pacius,Nashville SC,ST,45,0.5,0,0.1521,0,0.0,0,0,3.12,20.27,0.0,0.304,0.0,0.0,0.0,0.0,-0.025
Justen Glad,Real Salt Lake,CB,311,3.46,0,0.1101,0,0.0,0,0,3.11,43.73,0.0,0.032,0.0,0.0,0.0,0.0,0.197
Lukas Engel,Real Salt Lake,CB,169,1.88,0,0.0,0,0.0,0,0,3.09,40.16,0.0,0.0,0.0,0.0,0.0,0.0,0.218
Andrés Herrera,Columbus Crew,FB,304,3.38,0,0.0614,0,0.1218,0,2,3.09,29.47,0.0,0.018,0.0,0.036,0.0,0.592,-0.03
Robert Voloder,New York Red Bulls,CB,103,1.14,0,0.1419,0,0.0,0,0,3.08,38.05,0.0,0.124,0.0,0.0,0.0,0.0,0.113
David Brekalo,Orlando City SC,CB,312,3.47,0,0.1613,0,0.0,1,0,3.07,34.11,0.0,0.047,0.0,0.0,0.288,0.0,0.045
Jonathan Osorio,Toronto FC,AM,307,3.41,0,0.1017,1,0.334,0,3,3.06,21.76,0.0,0.03,0.293,0.098,0.0,0.879,-0.338
Alonso Coello,Toronto FC,AM,166,1.84,0,0.0,0,0.0,0,0,3.03,39.12,0.0,0.0,0.0,0.0,0.0,0.0,0.204
Kenji Mboma Dem,FC Cincinnati,FB,23,0.26,0,0.0397,0,0.0,0,0,2.99,25.06,0.0,0.155,0.0,0.0,0.0,0.0,0.069
Micael,Inter Miami CF,CB,311,3.46,0,0.0,0,0.0,0,0,2.96,43.71,0.0,0.0,0.0,0.0,0.0,0.0,0.188
Brayan Ceballos,New England Revolution,CB,97,1.08,0,0.0,0,0.0,0,0,2.95,35.69,0.0,0.0,0.0,0.0,0.0,0.0,0.187
Lucas Bartlett,D.C. United,CB,297,3.3,0,0.1647,0,0.0407,0,1,2.95,28.16,0.0,0.05,0.0,0.012,0.0,0.303,0.031
Nathan Byrne,Charlotte FC,FB,308,3.42,0,0.2164,0,0.0,0,0,2.93,35.87,0.0,0.063,0.0,0.0,0.0,0.0,0.13
Mauricio Cuevas,LA Galaxy,W,51,0.57,0,0.0627,0,0.0,0,0,2.92,25.2,0.0,0.111,0.0,0.0,0.0,0.0,0.089
Ian Smith,Portland Timbers FC,FB,120,1.33,0,0.0,0,0.0,0,0,2.92,40.18,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Duane Holmes,Houston Dynamo FC,FB,164,1.82,0,0.0,0,0.0,0,0,2.91,34.43,0.0,0.0,0.0,0.0,0.0,0.0,0.177
Jacob Bartlett,Sporting Kansas City,CM,264,2.93,0,0.0,0,0.0,0,0,2.89,38.04,0.0,0.0,0.0,0.0,0.0,0.0,0.174
Raul Gustavo,New York City FC,CB,231,2.57,0,0.0325,0,0.027,1,1,2.88,26.48,0.0,0.013,0.0,0.011,0.39,0.39,-0.163
Jalen Neal,CF Montréal,CB,58,0.64,0,0.015300000000000001,0,0.0,0,0,2.87,28.04,0.0,0.024,0.0,0.0,0.0,0.0,0.149
Tate Johnson,Vancouver Whitecaps FC,FB,224,2.49,0,0.0183,0,0.0,0,0,2.87,38.53,0.0,0.007,0.0,0.0,0.0,0.0,0.164
Lucas Halter,Houston Dynamo FC,CB,203,2.26,0,0.0777,0,0.109,0,1,2.86,30.37,0.0,0.034,0.0,0.048,0.0,0.443,-0.043
Noah Allen,Inter Miami CF,FB,254,2.82,0,0.0,0,0.0,0,0,2.85,41.19,0.0,0.0,0.0,0.0,0.0,0.0,0.166
Erik Sviatchenko,Houston Dynamo FC,CB,191,2.12,0,0.0,0,0.060700000000000004,0,1,2.81,28.0,0.0,0.0,0.0,0.029,0.0,0.471,-0.028
Dawid Bugaj,CF Montréal,FB,40,0.44,0,0.0,0,0.0,0,0,2.79,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.153
David Vazquez,San Diego FC,CM,68,0.76,0,0.0731,0,0.0,0,0,2.75,39.52,0.0,0.097,0.0,0.0,0.0,0.0,0.064
Diadie Samassékou,Houston Dynamo FC,FB,22,0.24,0,0.0,0,0.0,0,0,2.74,43.43,0.0,0.0,0.0,0.0,0.0,0.0,0.14
Oliver Larraz,Vancouver Whitecaps FC,DM,39,0.43,0,0.042800000000000005,0,0.0,0,0,2.74,35.63,0.0,0.099,0.0,0.0,0.0,0.0,0.06
Sam Sarver,FC Dallas,FB,26,0.29,0,0.07010000000000001,0,0.0,0,0,2.73,4.17,0.0,0.243,0.0,0.0,0.0,0.0,-0.06
Silvan Hefti,D.C. United,FB,297,3.3,0,0.0695,0,0.046200000000000005,0,1,2.72,26.46,0.0,0.021,0.0,0.014,0.0,0.303,0.003
Jansen Miller,Sporting Kansas City,FB,134,1.49,0,0.0,0,0.0,0,0,2.72,33.45,0.0,0.0,0.0,0.0,0.0,0.0,0.136
Ralph Priso,Vancouver Whitecaps FC,CB,304,3.38,0,0.0,0,0.0,0,0,2.72,41.23,0.0,0.0,0.0,0.0,0.0,0.0,0.136
Henry Wingo,Toronto FC,FB,21,0.23,0,0.028300000000000002,0,0.0,0,0,2.71,33.44,0.0,0.121,0.0,0.0,0.0,0.0,0.035
Noah Cobb,Colorado Rapids,CB,112,1.24,0,0.0,0,0.0,0,0,2.7,39.99,0.0,0.0,0.0,0.0,0.0,0.0,0.132
Michael Boxall,Minnesota United FC,CB,177,1.97,0,0.0,0,0.0,0,0,2.69,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.129
Andy Rojas,New York Red Bulls,CM,58,0.64,0,0.054,0,0.0,0,0,2.69,32.87,0.0,0.084,0.0,0.0,0.0,0.0,0.062
Daniel Lovitz,Nashville SC,FB,272,3.02,0,0.0,0,0.0286,0,1,2.67,30.69,0.0,0.0,0.0,0.009,0.0,0.331,0.001
James Pantemis,Portland Timbers FC,GK,303,3.37,0,0.0,0,0.0897,0,1,2.65,32.02,0.0,0.0,0.0,0.027,0.0,0.297,0.0
Thiago Martins,New York City FC,CB,294,3.27,0,0.0,0,0.0,0,0,2.65,39.25,0.0,0.0,0.0,0.0,0.0,0.0,0.12
Andre Blake,Philadelphia Union,GK,301,3.34,0,0.0,0,0.0785,0,1,2.64,29.49,0.0,0.0,0.0,0.023,0.0,0.299,0.0
Josh Atencio,Colorado Rapids,DM,257,2.86,0,0.0402,0,0.0429,0,1,2.64,31.2,0.0,0.014,0.0,0.015,0.0,0.35,-0.027
Kenny Nielsen,Los Angeles FC,CB,8,0.09,0,0.0,0,0.0,0,0,2.63,42.53,0.0,0.0,0.0,0.0,0.0,0.0,0.116
Andrew Farrell,New England Revolution,CB,103,1.14,0,0.0,0,0.0,0,0,2.62,39.23,0.0,0.0,0.0,0.0,0.0,0.0,0.114
Jimer Fory,Portland Timbers FC,FB,180,2.0,0,0.0,0,0.0,0,0,2.61,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.112
Ian Pilcher,San Diego FC,CB,9,0.1,0,0.0,0,0.0,0,0,2.6,42.25,0.0,0.0,0.0,0.0,0.0,0.0,0.109
Colin Guske,Orlando City SC,CM,181,2.01,0,0.0,0,0.0349,0,1,2.56,25.83,0.0,0.0,0.0,0.017,0.0,0.497,-0.087
Kieran Sargeant,San Diego FC,FB,295,3.28,0,0.0298,0,0.3386,0,2,2.56,26.08,0.0,0.009,0.0,0.103,0.0,0.61,-0.175
Matthew Corcoran,Nashville SC,DM,109,1.21,0,0.0,0,0.0,0,0,2.55,37.91,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Rudy Camacho,Columbus Crew,CB,283,3.14,0,0.0,0,0.0373,0,1,2.54,34.49,0.0,0.0,0.0,0.012,0.0,0.318,-0.025
Tomás Avilés,CF Montréal,FB,120,1.33,0,0.0,0,0.0,0,0,2.52,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.093
Jon Bell,Austin FC,CB,91,1.01,0,0.0,0,0.0,0,0,2.5,26.22,0.0,0.0,0.0,0.0,0.0,0.0,0.087
Sergio Santos,Atlanta United FC,W,11,0.12,0,0.0,0,0.0,0,0,2.49,41.35,0.0,0.0,0.0,0.0,0.0,0.0,0.085
Jesús Bueno,Philadelphia Union,CM,94,1.04,0,0.0364,0,0.0,0,0,2.49,31.01,0.0,0.035,0.0,0.0,0.0,0.0,0.058
Iago,Orlando City SC,CB,94,1.04,0,0.0,0,0.0,0,0,2.47,37.76,0.0,0.0,0.0,0.0,0.0,0.0,0.082
Nikola Petkovic,Seattle Sounders FC,AM,22,0.24,0,0.0,0,0.0,0,0,2.46,23.61,0.0,0.0,0.0,0.0,0.0,0.0,0.08
Finn Surman,Portland Timbers FC,CB,303,3.37,0,0.0,0,0.0357,0,1,2.45,32.97,0.0,0.0,0.0,0.011,0.0,0.297,-0.035
Alex Bonetig,Portland Timbers FC,CB,192,2.13,0,0.0,0,0.0,0,0,2.44,39.14,0.0,0.0,0.0,0.0,0.0,0.0,0.075
Brandan Craig,CF Montréal,CB,103,1.14,0,0.1126,0,0.0,0,0,2.43,32.1,0.0,0.098,0.0,0.0,0.0,0.0,-0.008
Jonathan González,San Jose Earthquakes,DM,29,0.32,0,0.0,0,0.0,0,0,2.42,30.39,0.0,0.0,0.0,0.0,0.0,0.0,0.07
Tyler Boyd,Los Angeles FC,W,42,0.47,0,0.0,0,0.0,0,0,2.41,33.54,0.0,0.0,0.0,0.0,0.0,0.0,0.067
Will Sands,New England Revolution,FB,142,1.58,0,0.0,0,0.0,0,0,2.41,30.29,0.0,0.0,0.0,0.0,0.0,0.0,0.069
Žan Kolmanič,Austin FC,FB,97,1.08,0,0.0,0,0.0,0,0,2.41,35.46,0.0,0.0,0.0,0.0,0.0,0.0,0.068
Matheus Nascimento,LA Galaxy,ST,68,0.76,0,0.07930000000000001,0,0.0,0,0,2.39,31.8,0.0,0.105,0.0,0.0,0.0,0.0,-0.023
Vitor Costa,San Jose Earthquakes,FB,24,0.27,0,0.0,0,0.0,0,0,2.39,34.17,0.0,0.0,0.0,0.0,0.0,0.0,0.063
Andrés Cubas,Vancouver Whitecaps FC,DM,263,2.92,0,0.0347,0,0.0669,0,3,2.38,20.98,0.0,0.012,0.0,0.023,0.0,1.027,-0.331
Benjamín Kuscevic,Toronto FC,CB,103,1.14,0,0.0626,0,0.0,0,0,2.37,29.76,0.0,0.055,0.0,0.0,0.0,0.0,0.014
Zane Monlouis,Toronto FC,CB,154,1.71,0,0.0,0,0.0,0,0,2.37,35.68,0.0,0.0,0.0,0.0,0.0,0.0,0.059
Gustav Berggren,New York Red Bulls,DM,24,0.27,0,0.0307,0,0.0,0,0,2.37,36.76,0.0,0.115,0.0,0.0,0.0,0.0,-0.035
Matthew Edwards,Atlanta United FC,CB,18,0.2,0,0.0193,0,0.0,0,0,2.37,32.22,0.0,0.096,0.0,0.0,0.0,0.0,-0.018
Tanner Beason,New England Revolution,FB,58,0.64,0,0.0,0,0.0,0,0,2.36,33.13,0.0,0.0,0.0,0.0,0.0,0.0,0.057
Lazar Stefanovic,Toronto FC,CB,25,0.28,0,0.0,0,0.0,0,0,2.35,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.055
Gilberto Flores,FC Cincinnati,CB,123,1.37,0,0.0234,0,0.0,0,0,2.35,34.71,0.0,0.017,0.0,0.0,0.0,0.0,0.042
Yevhen Cheberko,Columbus Crew,CB,21,0.23,0,0.0,0,0.0,0,0,2.33,35.53,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Sam Junqua,Real Salt Lake,CB,154,1.71,0,0.0,0,0.0587,0,1,2.33,22.58,0.0,0.0,0.0,0.034,0.0,0.584,-0.176
Luis Suárez,Inter Miami CF,W,16,0.18,0,0.0,0,0.0,0,0,2.32,23.63,0.0,0.0,0.0,0.0,0.0,0.0,0.048
Julián Aude,LA Galaxy,FB,257,2.86,0,0.0,0,0.0,0,0,2.32,34.61,0.0,0.0,0.0,0.0,0.0,0.0,0.049
Malik Henry,Toronto FC,W,72,0.8,0,0.0,0,0.0,0,0,2.31,28.71,0.0,0.0,0.0,0.0,0.0,0.0,0.047
Jacob Murrell,D.C. United,DM,6,0.07,0,0.0,0,0.0,0,0,2.31,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.047
Cheick Tidiane Sabaly,Vancouver Whitecaps FC,W,25,0.28,0,0.0,0,0.0,0,0,2.29,32.12,0.0,0.0,0.0,0.0,0.0,0.0,0.043
Maximo Carrizo,New York City FC,W,20,0.22,0,0.0159,0,0.0,0,0,2.28,33.42,0.0,0.072,0.0,0.0,0.0,0.0,-0.018
Alhassan Yusuf,New England Revolution,W,44,0.49,0,0.026500000000000003,0,0.0,0,0,2.28,30.05,0.0,0.054,0.0,0.0,0.0,0.0,-0.005
Alvas Powell,FC Cincinnati,CB,25,0.28,0,0.0,0,0.0,0,0,2.27,30.05,0.0,0.0,0.0,0.0,0.0,0.0,0.038
Brandt Bronico,Charlotte FC,DM,129,1.43,0,0.041,0,0.0,0,0,2.26,35.0,0.0,0.029,0.0,0.0,0.0,0.0,0.012
Jonathan Shore,New York City FC,DM,10,0.11,0,0.0,0,0.0,0,0,2.26,31.04,0.0,0.0,0.0,0.0,0.0,0.0,0.036
Bode Hidalgo,CF Montréal,FB,135,1.5,0,0.0,0,0.0,0,0,2.25,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.033
Reid Roberts,San Jose Earthquakes,CB,290,3.22,0,0.1678,0,0.0,0,0,2.25,30.66,0.0,0.052,0.0,0.0,0.0,0.0,-0.009
Luke Brennan,Atlanta United FC,CM,14,0.16,0,0.0,0,0.0,0,0,2.25,26.66,0.0,0.0,0.0,0.0,0.0,0.0,0.032
Caden Clark,D.C. United,W,15,0.17,0,0.0,0,0.0,0,0,2.24,25.04,0.0,0.0,0.0,0.0,0.0,0.0,0.031
Sergio Córdova,St. Louis City SC,W,40,0.44,0,0.0,0,0.0,0,0,2.24,25.45,0.0,0.0,0.0,0.0,0.0,0.0,0.031
Sergio Oregel,Chicago Fire FC,CM,9,0.1,0,0.0,0,0.0,0,0,2.24,39.32,0.0,0.0,0.0,0.0,0.0,0.0,0.032
Andrew Baiera,New York City FC,W,37,0.41,0,0.0,0,0.0,0,0,2.22,30.35,0.0,0.0,0.0,0.0,0.0,0.0,0.027
Connor Ronan,Colorado Rapids,DM,27,0.3,0,0.0,0,0.0,0,0,2.22,36.93,0.0,0.0,0.0,0.0,0.0,0.0,0.026
Paul Marie,San Jose Earthquakes,W,14,0.16,0,0.0,0,0.0,0,0,2.2,38.94,0.0,0.0,0.0,0.0,0.0,0.0,0.022
Gonzalo Lujan,Inter Miami CF,W,19,0.21,0,0.0,0,0.0,0,0,2.19,23.68,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Franco Negri,Houston Dynamo FC,AM,10,0.11,0,0.0,0,0.0,0,0,2.18,29.31,0.0,0.0,0.0,0.0,0.0,0.0,0.019
Carlos Harvey,Minnesota United FC,FB,28,0.31,0,0.0,0,0.0,0,0,2.17,38.73,0.0,0.0,0.0,0.0,0.0,0.0,0.017
Strahinja Tanasijević,New York City FC,CB,20,0.22,0,0.0,0,0.0,0,0,2.17,38.71,0.0,0.0,0.0,0.0,0.0,0.0,0.016
Kyle Duncan,Minnesota United FC,FB,22,0.24,0,0.0,0,0.0,0,0,2.17,34.46,0.0,0.0,0.0,0.0,0.0,0.0,0.015
John Nelson,LA Galaxy,FB,51,0.57,0,0.0,0,0.0,0,0,2.16,34.81,0.0,0.0,0.0,0.0,0.0,0.0,0.013
Tyger Smalls,Charlotte FC,W,26,0.29,0,0.0,0,0.0,0,0,2.16,30.99,0.0,0.0,0.0,0.0,0.0,0.0,0.013
Gabriel Pirani,D.C. United,ST,189,2.1,0,0.1327,0,0.0711,0,2,2.16,14.76,0.0,0.063,0.0,0.034,0.0,0.952,-0.4
Wilder Cartagena,Orlando City SC,DM,14,0.16,0,0.0,0,0.0,0,0,2.16,25.94,0.0,0.0,0.0,0.0,0.0,0.0,0.013
Troy Putt,Minnesota United FC,W,8,0.09,0,0.0,0,0.0,0,0,2.15,38.55,0.0,0.0,0.0,0.0,0.0,0.0,0.012
Harbor Miller,LA Galaxy,FB,17,0.19,0,0.0,0,0.0,0,0,2.15,33.14,0.0,0.0,0.0,0.0,0.0,0.0,0.012
Brian Anunga,FC Cincinnati,DM,4,0.04,0,0.0,0,0.0,0,0,2.14,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Lukas MacNaughton,St. Louis City SC,FB,38,0.42,0,0.0,0,0.0,0,0,2.14,33.22,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Justin Reynolds,Sporting Kansas City,FB,38,0.42,0,0.0,0,0.0,0,0,2.14,34.52,0.0,0.0,0.0,0.0,0.0,0.0,0.009
Enea Mihaj,Atlanta United FC,CB,289,3.21,0,0.0,0,0.0,0,0,2.14,33.47,0.0,0.0,0.0,0.0,0.0,0.0,0.008
Shane Donovan,Sporting Kansas City,W,6,0.07,0,0.0,0,0.0,0,0,2.14,19.45,0.0,0.0,0.0,0.0,0.0,0.0,0.009
DeAndre Yedlin,Real Salt Lake,CB,90,1.0,0,0.0,0,0.0,0,0,2.13,33.24,0.0,0.0,0.0,0.0,0.0,0.0,0.007
Sekou Bangoura,Columbus Crew,CM,57,0.63,0,0.0,0,0.0,0,0,2.13,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.006
Cody Baker,Seattle Sounders FC,W,12,0.13,0,0.0,0,0.0,0,0,2.13,25.74,0.0,0.0,0.0,0.0,0.0,0.0,0.008
Ran Binyamin,FC Dallas,CM,16,0.18,0,0.0,0,0.0,0,0,2.12,28.81,0.0,0.0,0.0,0.0,0.0,0.0,0.005
Oscar Verhoeven,San Diego FC,FB,58,0.64,0,0.0,0,0.0,0,0,2.12,33.15,0.0,0.0,0.0,0.0,0.0,0.0,0.005
Nick Fernandez,San Jose Earthquakes,AM,2,0.02,0,0.0,0,0.0,0,0,2.12,38.31,0.0,0.0,0.0,0.0,0.0,0.0,0.005
Tanner Rosborough,New York Red Bulls,ST,13,0.14,0,0.0,0,0.0,0,0,2.12,28.77,0.0,0.0,0.0,0.0,0.0,0.0,0.004
Hugo Lloris,Los Angeles FC,GK,310,3.44,0,0.0,0,0.0,0,0,2.1,25.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Knight,Nashville SC,W,10,0.11,0,0.0,0,0.0,0,0,2.1,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duran Michael Ferree,San Diego FC,GK,295,3.28,0,0.0,0,0.0,0,0,2.1,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Gillier,CF Montréal,GK,307,3.41,0,0.0,0,0.0,0,0,2.1,28.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drake Callender,Minnesota United FC,GK,306,3.4,0,0.0,0,0.0,0,0,2.1,24.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Collodi,FC Dallas,GK,305,3.39,0,0.0,0,0.0,0,0,2.1,26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novak Mićović,LA Galaxy,GK,308,3.42,0,0.0,0,0.0,0,0,2.1,28.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dayne St. Clair,Inter Miami CF,GK,311,3.46,0,0.0,0,0.0,0,0,2.1,34.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Bürki,St. Louis City SC,GK,299,3.32,0,0.0,0,0.0,0,0,2.1,30.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yohei Takaoka,Vancouver Whitecaps FC,GK,304,3.38,0,0.0,0,0.0,0,0,2.1,30.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxime Crépeau,Orlando City SC,GK,225,2.5,0,0.0,0,0.0,0,0,2.1,26.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristijan Kahlina,Charlotte FC,GK,308,3.42,0,0.0,0,0.0,0,0,2.1,31.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nico Hansen,Colorado Rapids,GK,104,1.16,0,0.0,0,0.0,0,0,2.1,33.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Turner,New England Revolution,GK,200,2.22,0,0.0,0,0.0,0,0,2.1,26.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Hoyos,Atlanta United FC,GK,300,3.33,0,0.0,0,0.0,0,0,2.1,29.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Bond,Houston Dynamo FC,GK,203,2.26,0,0.0,0,0.0,0,0,2.1,27.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Horvath,New York Red Bulls,GK,303,3.37,0,0.0,0,0.0,0,0,2.1,32.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luka Gavran,Toronto FC,GK,307,3.41,0,0.0,0,0.0,0,0,2.1,20.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Thomas,Seattle Sounders FC,GK,318,3.53,0,0.0,0,0.0,0,0,2.1,25.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel,San Jose Earthquakes,GK,290,3.22,0,0.0,0,0.0,0,0,2.1,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Johnson,D.C. United,GK,297,3.3,0,0.0,0,0.0,0,0,2.1,23.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Schulte,Columbus Crew,GK,304,3.38,0,0.0,0,0.0,0,0,2.1,32.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Celentano,FC Cincinnati,GK,308,3.42,0,0.0,0,0.0,0,0,2.1,32.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javier Otero,Orlando City SC,GK,84,0.93,0,0.0,0,0.0,0,0,2.1,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Cabral,Real Salt Lake,GK,311,3.46,0,0.0,0,0.0,0,0,2.1,26.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Pulskamp,Sporting Kansas City,GK,298,3.31,0,0.0,0,0.0,0,0,2.1,28.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Brady,Chicago Fire FC,GK,306,3.4,0,0.0,0,0.0,0,0,2.1,27.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Schwake,Nashville SC,GK,307,3.41,0,0.0,0,0.0,0,0,2.1,30.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zack Steffen,Colorado Rapids,GK,213,2.37,0,0.0,0,0.0,0,0,2.1,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Freese,New York City FC,GK,314,3.49,0,0.0,0,0.0,0,0,2.1,30.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Stuver,Austin FC,GK,304,3.38,0,0.0,0,0.0,0,0,2.1,25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Shokalook,Chicago Fire FC,W,3,0.03,0,0.0,0,0.0,0,0,2.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.002
Bryan Acosta,Nashville SC,CM,5,0.06,0,0.0,0,0.0,0,0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003
Sean Nealis,D.C. United,ST,3,0.03,0,0.0,0,0.0,0,0,2.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,-0.002
